id,code,name,family,general_material_id,classification_kind,flow_scope,tracks_patio_stock,allows_direct_entry,allows_transformation_output,allows_sale,is_active,sort_order,notes,created_at,updated_at
f8cba121-59e3-4d5e-8b89-68efe6a0b991,RIN_DE_ALUMINIO,"RIN DE ALUMINIO",metal,a3b39add-83a8-4b9e-92db-242b2b852a40,classified_stock,BOTH,t,t,t,t,t,620,"Clasificacion comercial de metal","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
a9e35ea1-d143-4d1f-846c-8757512edc56,RIN_CHICO,"RIN CHICO",metal,a3b39add-83a8-4b9e-92db-242b2b852a40,classified_stock,BOTH,t,t,t,t,t,610,"Clasificacion comercial de metal","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
9f8bc4c0-a2e4-4ca2-a9e9-59d4547af119,REBABA_DE_BRONCE,"REBABA DE BRONCE",metal,a3b39add-83a8-4b9e-92db-242b2b852a40,classified_stock,BOTH,t,t,t,t,t,560,"Clasificacion comercial de metal","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
d98d64d5-a7f7-48d5-8654-d55c0c52d33a,RADIADOR_PUNTA_DE_COBRE,"RADIADOR PUNTA DE COBRE",metal,a3b39add-83a8-4b9e-92db-242b2b852a40,classified_stock,BOTH,t,t,t,t,t,540,"Clasificacion comercial de metal","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
552a46f5-952f-4347-bebb-8d704f79811b,RADIADOR_LATON,"RADIADOR LATON",metal,a3b39add-83a8-4b9e-92db-242b2b852a40,classified_stock,BOTH,t,t,t,t,t,530,"Clasificacion comercial de metal","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
d69371ee-5cdd-4957-a593-072469988a6d,RADIADOR_DE_COBRE,"RADIADOR DE COBRE",metal,a3b39add-83a8-4b9e-92db-242b2b852a40,classified_stock,BOTH,t,t,t,t,t,520,"Clasificacion comercial de metal","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
217ad8f4-a228-4695-aa06-2e73deabbbf3,RADIADOR_DE_ALUMINIO,"RADIADOR DE ALUMINIO",metal,a3b39add-83a8-4b9e-92db-242b2b852a40,classified_stock,BOTH,t,t,t,t,t,510,"Clasificacion comercial de metal","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
dd4ef2d2-b7d4-4e90-ad9a-034ccb775f16,PLACA_DE_ALUMINIO,"PLACA DE ALUMINIO",metal,a3b39add-83a8-4b9e-92db-242b2b852a40,classified_stock,BOTH,t,t,t,t,t,470,"Clasificacion comercial de metal","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
9abccac5-dc65-4754-b3f5-a84989eacae6,PERFIL_SIN_PINTURA,"PERFIL SIN PINTURA",metal,a3b39add-83a8-4b9e-92db-242b2b852a40,classified_stock,BOTH,t,t,t,t,t,450,"Clasificacion comercial de metal","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
e453d695-5fa9-4eea-9745-6d50ebec1c52,PERFIL_CON_PINTURA,"PERFIL CON PINTURA",metal,a3b39add-83a8-4b9e-92db-242b2b852a40,classified_stock,BOTH,t,t,t,t,t,440,"Clasificacion comercial de metal","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
e675815a-f8c8-43dc-8307-8a0c053eb5bf,FIERRO_VACIADO,"FIERRO VACIADO",metal,a3b39add-83a8-4b9e-92db-242b2b852a40,classified_stock,BOTH,t,t,t,t,t,240,"Clasificacion comercial de metal","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
f66663c6-8571-42d5-84ca-4547613d9403,COBRE_DE_SEGUNDA,"COBRE DE SEGUNDA",metal,a3b39add-83a8-4b9e-92db-242b2b852a40,classified_stock,BOTH,t,t,t,t,t,220,"Clasificacion comercial de metal","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
916a8c7e-f175-4066-bded-7e0ee2183584,COBRE_DE_PRIMERA,"COBRE DE PRIMERA",metal,a3b39add-83a8-4b9e-92db-242b2b852a40,classified_stock,BOTH,t,t,t,t,t,210,"Clasificacion comercial de metal","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
7b6d4c18-a50e-4840-b58e-f86bba1c5912,COBRE_CANDY,"COBRE CANDY",metal,a3b39add-83a8-4b9e-92db-242b2b852a40,classified_stock,BOTH,t,t,t,t,t,200,"Clasificacion comercial de metal","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
14222d0b-a3ca-4adb-973a-c9c5b7aa11ae,BRONCE,BRONCE,metal,a3b39add-83a8-4b9e-92db-242b2b852a40,classified_stock,BOTH,t,t,t,t,t,150,"Clasificacion comercial de metal","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
3122f7e3-a809-4606-bed8-97825ea0cdcc,ALUMINIO_TUBO,"ALUMINIO TUBO",metal,a3b39add-83a8-4b9e-92db-242b2b852a40,classified_stock,BOTH,t,t,t,t,t,80,"Clasificacion comercial de metal","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
4994260d-01ec-4319-b3b8-0613b397045a,ALUMINIO_PISTON,"ALUMINIO PISTON",metal,a3b39add-83a8-4b9e-92db-242b2b852a40,classified_stock,BOTH,t,t,t,t,t,70,"Clasificacion comercial de metal","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
bdd045b4-d94c-4b16-a42c-2f31462ab673,ALUMINIO_MACIZO,"ALUMINIO MACIZO",metal,a3b39add-83a8-4b9e-92db-242b2b852a40,classified_stock,BOTH,t,t,t,t,t,60,"Clasificacion comercial de metal","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
0fcc4367-1e03-4745-8164-de5a765f9673,CHATARRA_MIXTA,"CHATARRA MIXTA",metal,4c7a25df-991f-4443-9269-4e853df6fed3,classified_stock,BOTH,t,t,t,t,f,190,"Clasificacion comercial de chatarra","2026-03-13 19:39:38.720229+00","2026-03-20 16:19:20.947618+00"
