allows_direct_entry,allows_sale,allows_transformation_output,classification_kind,code,created_at,family,flow_scope,general_material_id,id,is_active,name,notes,sort_order,tracks_patio_stock,updated_at
True,True,True,classified_stock,PERFIL_CON_PINTURA,2026-03-13T19:39:38.720229+00:00,metal,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,e453d695-5fa9-4eea-9745-6d50ebec1c52,True,PERFIL CON PINTURA,Clasificacion comercial de metal,440,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,FIERRO_VACIADO,2026-03-13T19:39:38.720229+00:00,metal,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,e675815a-f8c8-43dc-8307-8a0c053eb5bf,True,FIERRO VACIADO,Clasificacion comercial de metal,240,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,COBRE_DE_SEGUNDA,2026-03-13T19:39:38.720229+00:00,metal,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,f66663c6-8571-42d5-84ca-4547613d9403,True,COBRE DE SEGUNDA,Clasificacion comercial de metal,220,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,COBRE_DE_PRIMERA,2026-03-13T19:39:38.720229+00:00,metal,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,916a8c7e-f175-4066-bded-7e0ee2183584,True,COBRE DE PRIMERA,Clasificacion comercial de metal,210,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,COBRE_CANDY,2026-03-13T19:39:38.720229+00:00,metal,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,7b6d4c18-a50e-4840-b58e-f86bba1c5912,True,COBRE CANDY,Clasificacion comercial de metal,200,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,BRONCE,2026-03-13T19:39:38.720229+00:00,metal,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,14222d0b-a3ca-4adb-973a-c9c5b7aa11ae,True,BRONCE,Clasificacion comercial de metal,150,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,ALUMINIO_TUBO,2026-03-13T19:39:38.720229+00:00,metal,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,3122f7e3-a809-4606-bed8-97825ea0cdcc,True,ALUMINIO TUBO,Clasificacion comercial de metal,80,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,ALUMINIO_PISTON,2026-03-13T19:39:38.720229+00:00,metal,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,4994260d-01ec-4319-b3b8-0613b397045a,True,ALUMINIO PISTON,Clasificacion comercial de metal,70,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,ALUMINIO_MACIZO,2026-03-13T19:39:38.720229+00:00,metal,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,bdd045b4-d94c-4b16-a42c-2f31462ab673,True,ALUMINIO MACIZO,Clasificacion comercial de metal,60,True,2026-03-13T19:39:38.720229+00:00
False,False,False,legacy_alias,LIMPIO,2026-03-13T19:39:38.720229+00:00,fiber,PRODUCTION_ONLY,88c788cd-06c8-43a9-b429-aba0c440f2f4,4f1ed22c-9e70-43d3-bd5c-0714db3229cb,True,LIMPIO,Alias heredado; reemplazar por PACA_LIMPIA,290,False,2026-04-02T16:55:07.270572+00:00
True,True,True,classified_stock,CHATARRA_MIXTA,2026-03-13T19:39:38.720229+00:00,metal,BOTH,4c7a25df-991f-4443-9269-4e853df6fed3,0fcc4367-1e03-4745-8164-de5a765f9673,True,CHATARRA MIXTA,Clasificacion comercial de chatarra,190,True,2026-04-02T16:55:07.545135+00:00
False,False,False,legacy_alias,AMERICANO,2026-03-13T19:39:38.720229+00:00,fiber,PRODUCTION_ONLY,88c788cd-06c8-43a9-b429-aba0c440f2f4,f54c36bb-f8d5-4d19-b3a0-3f2d7309a37b,True,AMERICANO,Alias heredado; reemplazar por CARTON_AMERICANO o PACA_AMERICANA segun flujo,90,False,2026-04-02T16:55:07.665765+00:00
True,True,True,classified_stock,ALUMINIO_BLANDO,2026-03-13T19:39:38.720229+00:00,metal,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,8f857305-3fa3-4acb-aa2c-662c502c6888,True,ALUMINIO BLANDO,Clasificacion comercial de metal,50,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,ALUMINIO,2026-03-13T19:39:38.720229+00:00,metal,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,e127afec-99b6-4811-93b5-922283597874,True,ALUMINIO,Clasificacion comercial de metal,40,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,ALAMBRE_DE_ALUMINIO,2026-03-13T19:39:38.720229+00:00,metal,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,98a2cebd-2379-497d-929b-f0987811a65e,True,ALAMBRE DE ALUMINIO,Clasificacion comercial de metal,30,True,2026-03-13T19:39:38.720229+00:00
